Receive Date,Receive Type,Inmate Type,Gender,Race,Age,County,Offense Code,Offense,Offense Description,Sentence Date,Offense Date,Sentence (Years)
10/10/2019,New Rcv,SJ,M,W,40,Wise,38060019,Other,ABAND/ENDANG CHILD W/INT RETURN,09/30/2019,01/11/2019,7 to 8 Months
02/26/2020,New Rcv,SJ,M,H,37,Cameron,23990196,Property,THEFT PROP<2500 W/2 MOR PRE CONV,08/28/2019,07/15/2019,12 to 13 Months
10/07/2019,NR-Prob-Orig,SAFP,M,W,62,Bowie,35990014,Drug,POSS CS PG 1 <1G,,05/03/2019,SAFPF
11/25/2019,New Rcv,ID,M,H,39,Brazoria,54040011,Other,DWI 3RD OR MORE,10/25/2019,04/05/2019,2 Years & Less
07/17/2020,New Rcv,ID,M,W,43,Harris,26040045,Property,FRAUD USE POSS ID INFO O/50,03/19/2020,01/06/2019,7 Years
12/19/2019,New Rcv,SJ,M,H,42,Lubbock,26040042,Property,FRAUD USE/POSS ID INFO,11/19/2019,06/01/2018,8 to 9 Months
11/22/2019,New Rcv,ID,M,H,39,Gillespie,54040011,Other,DWI,10/31/2019,01/31/2018,4 Years
01/15/2020,New Rcv,ID,M,B,42,Bell,35990015,Drug,POSS CONT SUB 1-4G,12/16/2019,07/11/2019,3 Years
02/26/2020,New Rcv,ID,M,B,41,Bell,35990015,Drug,POSS CONT SUB 1-4G,01/30/2020,03/09/2019,10 Years
07/06/2020,DMS Rvk-New Offense,ID,M,W,41,Tarrant,35990016,Drug,POSS C/S 4-200G METH,02/10/2017,04/26/2016,4 Years
12/23/2019,New Rcv,ID,M,W,63,Brown,23990194,Property,THEFT $2500-$30K,11/14/2019,09/05/2017,5 Years
10/08/2019,New Rcv,ID,M,W,41,Harris,36990007,Other,FAIL COMPLY SEX OFFENDER,09/17/2019,06/20/2019,3 Years
08/20/2020,NR-Prob-New Offense,ID,M,H,41,Hale,23990198,Property,THEFT PROP $30K-$150K,09/10/2018,04/22/2018,5 Years
03/13/2020,New Rcv,ID,M,H,43,Ector,13990043,Violent,INJ CHILD ELD DISAB INT BI,02/11/2020,02/09/2019,21 to 25 Years
10/24/2019,New Rcv,ID,F,H,47,El Paso,13160017,Violent,HARASSMENT OF PUBLIC SERVANT,09/18/2019,07/08/2019,3 Years
10/29/2019,New Rcv,ID,F,H,38,Nueces,12990002,Violent,AGG ROBBERY,09/05/2019,03/26/2019,5 Years
02/18/2020,New Rcv,ID,M,H,48,Tarrant,54040011,Other,DWI REPETITION,01/27/2020,08/18/2019,2 Years & Less
09/18/2019,New Rcv,ID,F,B,45,Tarrant,23990196,Property,THEFT $2500 2/MORE PREV CONV,08/26/2019,07/21/2019,2 Years & Less
01/03/2020,New Rcv,ID,M,W,39,Gregg,48040003,Other,TAMP W/EVIDENCE,11/26/2019,05/22/2019,4 Years
11/13/2019,NR-Prob Mod,SAFP,M,B,41,Angelina,48010020,Other,EVADING ARREST DET W/VEH,,05/21/2018,SAFPF
09/10/2019,New Rcv,ID,M,B,35,Lubbock,52030024,Other,FELON POSS FIREARM,08/15/2019,06/12/2015,5 Years
10/01/2019,NR-Prob-Orig,SAFP,M,H,27,Hockley,35990015,Drug,POSS CS PG 1 >=1G<4G,,10/12/2017,SAFPF
02/11/2020,NR-Prob-New Offense,ID,M,H,44,Hockley,35990015,Drug,POSS CONT SUB 1-4G,01/14/2019,10/12/2017,4 Years
03/04/2020,NR-Prob-New Offense,ID,M,H,46,Jefferson,54040011,Other,DWI,02/12/2018,11/02/2016,4 Years
10/09/2019,NR-Prob Mod,SAFP,F,H,37,Nueces,38060001,Other,ABANDON ENDANGER CHILD IMMINENT,,03/30/2018,SAFPF
07/01/2020,NR-Prob-New Offense,ID,F,H,38,Nueces,38060001,Other,ABANDON/ENDANG CHILD IMM DANGER,03/17/2020,03/30/2018,8 Years
07/09/2020,New Rcv,ID,M,H,42,Brazos,13150005,Violent,AGG ASLT W/DWPN,04/16/2020,09/04/2019,5 Years
10/21/2019,NR-Prob-New Offense,ID,F,W,43,Harrison,26050015,Property,CREDIT/DEBIT CARD ABUSE ELDERLY,10/02/2019,04/26/2017,2 Years & Less
12/30/2019,New Rcv,ID,M,W,41,Polk,35990003,Drug,POSS CONT SUB WIT DELIVER,12/02/2019,04/19/2018,11 to 15 Years
12/18/2019,New Rcv,ID,F,W,43,Kaufman,09990017,Violent,MANSLAUGHTER,11/21/2019,01/26/2019,16 to 20 Years
12/27/2019,New Rcv,ID,M,H,44,Ector,12990001,Violent,ROBBERY,11/21/2019,08/03/2019,5 Years
02/10/2020,Parole Rvk-Tech Only,ID,M,W,36,Taylor,12990002,Violent,AGG ROBBERY,01/15/2016,06/01/2013,6 Years
01/10/2020,New Rcv,SJ,M,B,40,Galveston,23990196,Property,THEFT PROP<2500 2/MORE PREV CONV,12/13/2019,09/13/2019,11 to 12 Months
03/06/2020,Parole Rvk-New Offense,ID,M,H,38,Midland,13990075,Violent,ASSAULT,01/07/2016,05/28/2015,5 Years
11/15/2019,New Rcv,ID,M,B,41,Van Zandt,54040011,Other,DWI 3RD OR MORE,10/09/2019,03/04/2017,11 to 15 Years
03/25/2020,NR-Prob Mod,SAFP,M,H,39,Nueces,12990001,Violent,ROBBERY,,08/21/2019,SAFPF
03/03/2020,NR-Prob-New Offense,ID,F,W,41,Tom Green,54040011,Other,DWI,06/07/2016,09/26/2015,3 Years
10/17/2019,New Rcv,ID,M,W,42,Bexar,35990015,Drug,POSS CONT SUB PG1 1-4G,09/25/2019,04/04/2019,5 Years
09/03/2019,New Rcv,ID,M,H,40,Gaines,35990015,Drug,POSS CONT SUBS,07/25/2019,11/13/2017,9 Years
12/30/2019,New Rcv,ID,M,H,48,Montgomery,35990003,Drug,POSS W/INT DEL/MAN CONT SUBS,12/03/2019,11/15/2019,7 Years
03/04/2020,NR-Parole-Tech Only,SAFP,M,W,41,Navarro,35990002,Drug,POSS CONT SUBS PG1 1-4G WID,06/13/2016,03/03/2007,SAFPF
03/26/2020,New Rcv,SJ,M,W,40,Taylor,23990196,Property,THEFT ENHANCED,02/26/2020,11/09/2018,17 to 18 Months
03/19/2020,Parole Rvk-New Offense,ID,M,B,39,Williamson,52030024,Other,UNL POSS FIREARM BY FELON,06/27/2012,02/04/2012,11 to 15 Years
02/26/2020,New Rcv,ID,M,W,41,Bell,48010020,Other,EVAD ARST/DET W/VEH,11/22/2019,06/12/2019,3 Years
01/31/2020,New Rcv,SJ,M,W,40,Travis,22990001,Property,BURG OF BLDG,01/21/2020,11/27/2019,14 to 15 Months
03/16/2020,DMS Rvk-New Offense,ID,M,B,41,Henderson,35990016,Drug,POSS CONT SUBS,03/01/2016,06/14/2015,6 Years
01/06/2020,NR-Prob-Tech Only,ID,M,W,40,Navarro,54010009,Violent,ACC INV SBI,08/15/2019,03/02/2018,4 Years
02/20/2020,NR-Prob-Tech Only,ID,F,H,41,Madison,48040003,Other,TAMP/FABR PHYS EVID W/INT IMPAIR,01/12/2016,02/19/2014,2 Years & Less
01/23/2020,NR-Prob-New Offense,ID,M,W,46,Red River,35990016,Drug,POSS CS METH 4-200G,09/16/2019,01/22/2017,8 Years
10/31/2019,New Rcv,ID,M,H,41,Travis,13990075,Violent,ASLT FAM/HSE MEM PREV CONV,10/11/2019,04/20/2019,2 Years & Less
10/17/2019,New Rcv,ID,M,B,40,Travis,13990075,Violent,ASLT FAM/HSE MEM PREV CONV IAT,09/20/2019,01/25/2019,2 Years & Less
03/17/2020,NR-Prob-Tech Only,ID,F,W,40,Ector,23990010,Property,THEFT,02/15/2018,01/01/2014,8 Years
01/21/2020,New Rcv,ID,F,H,38,Tom Green,13990078,Violent,ASLT FAM VIOL CONT,12/09/2019,05/22/2019,4 Years
10/18/2019,New Rcv,ID,M,H,41,Midland,35990016,Drug,POSS CONT SUB PG1,09/20/2019,10/01/2017,4 Years
11/20/2019,NR-Prob-New Offense,SJ,M,W,39,Hill,35990014,Drug,POSS CS PG1<1G,08/27/2019,12/22/2016,14 to 15 Months
09/04/2019,New Rcv,SJ,F,B,37,Tarrant,23990196,Property,THEFT <$2500 2/M PREV CONV,08/23/2019,05/18/2019,6 Months & Less
04/03/2020,DMS Rvk-New Offense,ID,M,B,44,Tarrant,22990002,Property,BURG HABIT,05/28/2014,02/05/2013,8 Years
12/19/2019,New Rcv,SJ,M,B,44,Tarrant,22990008,Property,BURG VEH W/2 OR MORE PREV CONV,12/10/2019,05/22/2018,6 Months & Less
02/03/2020,New Rcv,ID,M,B,39,Burleson,13990063,Violent,ASLT PUB SERVANT,12/30/2019,09/25/2019,16 to 20 Years
04/07/2020,New Rcv,ID,M,W,41,Randall,25890002,Property,FORGE GOV/NAT INST/MONEY/SEC,01/29/2020,10/06/2019,5 Years
11/20/2019,New Rcv,ID,M,H,37,Harris,23990196,Property,THEFT L/$2500 W/2 MORE PREV,11/01/2019,04/30/2019,2 Years & Less
09/16/2019,New Rcv,ID,M,B,34,Fort Bend,22990002,Property,ATT COMM BURG HABIT,08/19/2019,04/02/2016,2 Years & Less
09/27/2019,New Rcv,SJ,M,W,39,Dallas,23990196,Property,THEFT <2500 W/2 PREV CONV,08/26/2019,06/23/2019,6 to 7 Months
12/05/2019,Parole Rvk-New Offense,ID,M,W,42,Grayson,35990014,Drug,POSS CS PG1 L/1G METH,02/18/2015,07/01/2014,7 Years
02/19/2020,NR-Prob Mod,SAFP,M,W,42,Travis,50990041,Other,OBSTRUCTION OR RETALIATION,,05/19/2018,SAFPF
09/11/2019,NR-Parole-Tech Only,SAFP,M,W,41,Dewitt,35990014,Drug,POSS CONT SUB,03/29/2018,06/13/2017,SAFPF
04/02/2020,NR-Parole-New Offense,SAFP,M,H,38,Midland,13150005,Violent,AGG ASSLT W/DDLY WPN,08/21/2009,05/05/2008,SAFPF
10/23/2019,NR-Prob-Tech Only,ID,M,B,46,Dallas,22990008,Property,BURG VEH 2/M PREV CONV,05/24/2019,09/27/2018,4 Years
09/04/2019,NR-Prob Mod,SAFP,F,W,48,McLennan,23990004,Property,THEFT PROP >=$1500 < $20K,,04/11/2009,SAFPF
04/08/2020,New Rcv,SJ,M,W,41,Lampasas,35990014,Drug,POSS CS,03/13/2020,12/09/2019,7 to 8 Months
03/03/2020,New Rcv,SJ,M,B,40,Brazos,23990196,Property,THEFT PROP L/$2500 2/M PREV CONV,02/13/2020,10/21/2019,6 to 7 Months
11/01/2019,New Rcv,SJ,M,H,39,Midland,23990196,Property,THEFT PROPERTY<$2500 W/2 MORE PR,10/24/2019,04/18/2019,8 to 9 Months
09/10/2019,NR-Prob Mod,SAFP,F,H,42,Dallas,24110003,Property,UNAUTH USE OF VEHICLE,,05/31/2017,SAFPF
10/30/2019,New Rcv,ID,M,W,47,Harris,11990004,Violent,AGG SEX ASLT CHILD U/14,10/11/2019,09/25/2011,26 to 30 Years
11/25/2019,NR-Prob-New Offense,ID,M,W,47,Bexar,13990043,Violent,INJ TO ELD BI,10/31/2019,02/04/2016,4 Years
03/20/2020,NR-Prob-New Offense,SJ,M,W,47,Travis,23990004,Property,THEFT PROP $1500-$20K,03/06/2020,03/31/2014,6 Months & Less
10/15/2019,New Rcv,ID,M,H,40,Galveston,13990082,Violent,ASLT PEACE OFFICER/JUDGE,09/17/2019,01/02/2019,4 Years
10/09/2019,NR-Prob-New Offense,ID,F,W,47,Brazoria,35990003,Drug,POSS CONT SUB WID,02/25/2011,11/17/2010,5 Years
11/08/2019,NR-Prob-Tech Only,SJ,F,H,43,Caldwell,13160017,Violent,ATT HARRASMENT OF PUBLIC SERVANT,10/10/2016,09/20/2015,11 to 12 Months
02/27/2020,NR-Prob-New Offense,SJ,M,W,55,Tom Green,35990014,Drug,POSS CS PG1 L/1G:METH,04/22/2015,10/05/2014,11 to 12 Months
02/13/2020,New Rcv,ID,M,H,42,Collin,73991005,Other,ENGAGE ORG CRIM ACTIVITY,01/17/2020,08/17/2017,11 to 15 Years
02/18/2020,New Rcv,ID,M,H,39,Dawson,35990016,Drug,POSS CONT SUB,01/29/2020,09/30/2017,11 to 15 Years
09/09/2019,NR-Prob-New Offense,ID,M,H,36,Stephens,13150005,Violent,AGG ASLT W/DWPN,08/22/2019,02/19/2016,4 Years
08/18/2020,New Rcv,SJ,M,H,40,Bexar,24110003,Property,UUV,06/18/2020,04/29/2020,15 to 16 Months
09/23/2019,NR-Prob-Orig,SAFP,M,W,59,Falls,23990194,Property,"THEFT PROP >=$2,500<$30K",,10/15/2015,SAFPF
02/19/2020,NR-Prob-Tech Only,SJ,F,B,36,Brazoria,35990014,Drug,POSS CS,01/21/2020,04/02/2018,6 Months & Less
03/20/2020,New Rcv,SJ,M,W,36,Henderson,23990008,Property,THEFT FIREARM,03/04/2020,09/24/2019,17 to 18 Months
01/08/2020,NR-Parole-Tech Only,SAFP,M,B,35,Brown,36990007,Other,FAIL TO COMPLY SEX OFF REG,04/22/2016,07/21/2014,SAFPF
12/03/2019,NR-Prob-New Offense,ID,M,H,38,El Paso,22990002,Property,BURG HABIT,10/02/2019,05/31/2016,5 Years
10/09/2019,Parole Rvk-New Offense,ID,M,B,34,Dallas,12990002,Violent,AGGRAVATED ROBBERY,06/18/2008,05/22/2007,16 to 20 Years
12/30/2019,Parole Rvk-New Offense,ID,M,H,39,McLennan,35990156,Drug,POSS CS METH WID-DFZ,07/19/2012,02/22/2011,11 to 15 Years
11/19/2019,NR-Prob Mod,SAFP,F,H,46,Bexar,13150005,Violent,AGG ASSAULT W/DEADLY WEAPON,,04/02/2018,SAFPF
03/24/2020,New Rcv,SJ,M,B,41,Ellis,23990196,Property,THEFT PROP W/2 MORE CONV,03/04/2020,09/06/2019,6 Months & Less
02/26/2020,New Rcv,ID,M,W,41,Johnson,35990015,Drug,POSS CONT SUB PG1 1-4G,01/23/2020,09/12/2019,3 Years
12/06/2019,New Rcv,SJ,M,B,51,Tarrant,24110003,Property,UUMV,11/15/2019,08/03/2019,6 Months & Less
03/23/2020,Parole Rvk-New Offense,ID,M,B,37,Brazoria,35990209,Drug,PROH ITEM IN CORR FACILITY,09/13/2012,10/13/2009,7 Years
03/11/2020,New Rcv,SJ,F,W,40,Tarrant,23990196,Property,"THEFT <$2,500-2 MORE PREV CONVS",02/28/2020,11/23/2019,6 to 7 Months
10/29/2019,New Rcv,SJ,M,B,33,Tarrant,35990014,Drug,POSS C/S<1G; METH,10/08/2019,06/02/2019,6 Months & Less
02/18/2020,DMS Rvk-New Offense,ID,M,W,47,Tarrant,35990016,Drug,POSS CS 4-200G METH,04/17/2017,09/01/2016,4 Years
09/18/2019,New Rcv,ID,M,H,39,Hidalgo,11990001,Violent,SEXUAL ASSAULT,08/14/2019,10/02/2016,6 Years
02/20/2020,Parole Rvk-New Offense,ID,M,H,35,Bexar,35990003,Drug,POSS WID CONT SUBS 4-200G,11/01/2012,08/15/2012,8 Years
08/10/2020,NR-Prob-Tech Only,ID,M,B,43,Cherokee,22990002,Property,BURG HABIT,06/02/2020,09/08/2017,8 Years
12/11/2019,New Rcv,ID,M,W,43,Chambers,13150005,Violent,AGG ASLT W/DWPN,11/22/2019,05/30/2017,2 Years & Less
03/05/2020,New Rcv,ID,M,W,37,Brooks,13150005,Violent,AGG ASLT W/DW,01/09/2020,05/25/2016,5 Years
03/12/2020,New Rcv,SJ,F,W,51,Comal,35990014,Drug,POSS C/S,05/07/2019,03/08/2014,11 to 12 Months
12/11/2019,NR-Prob-Orig,SAFP,M,H,44,Dallas,35990003,Drug,MAN DEL CS PG 1 >=4G<200G,,02/13/2019,SAFPF
10/29/2019,NR-Prob Mod,SAFP,F,H,39,Nueces,35990014,Drug,POSS CS PG 1 <1G,,02/22/2019,SAFPF
03/09/2020,New Rcv,ID,M,W,41,Nolan,36990028,Other,IMP PHOTOGRAPHY/VISUAL RECORDING,01/27/2020,01/21/2018,11 to 15 Years
01/30/2020,NR-Prob-New Offense,SJ,M,H,46,Tarrant,35990014,Drug,POSS C/S <1G; METH,01/16/2020,08/04/2018,11 to 12 Months
02/04/2020,NR-Prob-New Offense,ID,M,H,39,Terry,35990014,Drug,POSS CONT SUB PG1 1G,07/18/2017,04/09/2017,6 Years
01/15/2020,NR-Prob-New Offense,ID,M,W,41,Liberty,73991058,Other,TAMP W/PHYS EVID HUMAN CORPSE,12/09/2019,11/20/2014,4 Years
09/17/2019,Parole Rvk-New Offense,ID,M,W,43,Donley,54040011,Other,DWI 3RD OR MORE,10/01/2014,03/29/2013,8 Years
11/15/2019,New Rcv,ID,M,W,61,Smith,13990082,Violent,ASLT PEACE OFFICER/JUDGE,09/16/2019,04/03/2019,5 Years
11/14/2019,NR-Prob-Orig,SAFP,M,W,44,Lamar,22990001,Property,BURGLARY OF BUILDING,,08/26/2019,SAFPF
10/15/2019,NR-Prob-New Offense,SJ,F,W,46,Dallas,35990014,Drug,POSS C/S,10/04/2019,05/15/2017,7 to 8 Months
11/26/2019,New Rcv,ID,M,H,39,Galveston,35990016,Drug,POSS CS PG1 4-200G METH,10/22/2019,08/25/2019,5 Years
02/28/2020,New Rcv,ID,M,W,42,Tom Green,54040011,Other,DWI,02/04/2020,04/04/2019,4 Years
03/04/2020,NR-Prob-Orig,SAFP,M,W,39,Johnson,35990014,Drug,POSS CS PG 1 <1G,,01/15/2014,SAFPF
02/07/2020,NR-Prob-Tech Only,SJ,M,B,39,Dallas,23990196,Property,THEFT PROP<2500-2 MORE PREV CONV,12/19/2019,08/29/2018,8 to 9 Months
09/30/2019,NR-Prob Mod,SAFP,F,W,55,Eastland,35990014,Drug,POSS CS PG 1 <1G,,05/03/2019,SAFPF
02/04/2020,NR-Prob Mod,SAFP,M,B,39,Travis,13990031,Violent,ASSAULT CAUSES BODILY INJURY FAM,,10/01/2017,SAFPF
07/14/2020,New Rcv,ID,M,W,44,Montgomery,36990007,Other,FAIL TO COMPLY REG/SEX OFFEND,04/09/2020,12/14/2019,2 Years & Less
10/11/2019,New Rcv,SJ,M,H,40,Dallas,48010019,Other,EVADE ARREST/DETENTION,09/03/2019,12/29/2018,6 to 7 Months
10/10/2019,New Rcv,SJ,M,B,42,Harris,25890001,Property,FORGERY,10/04/2019,12/21/2017,6 Months & Less
10/10/2019,New Rcv,ID,M,B,40,Travis,52120009,Other,UNL POSS F/ARM BY FELON,09/16/2019,06/28/2019,4 Years
11/18/2019,NR-Prob Mod,SAFP,M,H,41,Marion,13990075,Violent,ASSAULT FAMILY/HOUSEHOLD MEMBER,,01/22/2018,SAFPF
08/14/2020,Parole Rvk-New Offense,ID,M,W,40,Tom Green,35990003,Drug,MAN/DEL CONT SUB,08/13/2009,02/08/2008,16 to 20 Years
10/18/2019,New Rcv,SJ,M,W,55,Bexar,23990194,Property,THEFT $2500 TO < $30000,09/25/2019,05/28/2019,11 to 12 Months
11/26/2019,New Rcv,ID,M,B,37,Jefferson,35990016,Drug,POSS CONT SUBS,10/17/2019,05/19/2018,4 Years
10/30/2019,Parole Rvk-New Offense,ID,M,W,39,Liberty,54040032,Violent,INTOX ASLT,05/06/2013,03/03/2012,7 Years
10/18/2019,New Rcv,ID,M,H,43,Medina,13150011,Violent,AGG ASLT AGAINST PUB SERVANT,08/28/2019,11/29/2016,60 Years +
07/02/2020,NR-Prob-New Offense,ID,M,H,43,Harris,35990015,Drug,POSS CONT SUB 1-4G PHENCYCLIDINE,03/10/2020,08/14/2018,3 Years
01/14/2020,New Rcv,ID,M,W,37,Tarrant,22990002,Property,BURG HABIT,12/19/2019,04/12/2018,3 Years
03/20/2020,DMS Rvk-New Offense,ID,M,H,35,Upton,73991004,Other,ENGAGE IN ORGAN CRIME ACT,12/02/2014,07/10/2013,4 Years
08/14/2020,DMS Rvk-New Offense,ID,M,W,45,Nacogdoches,22990001,Property,BURG BUILDING,11/16/2017,04/20/2016,6 Years
09/25/2019,New Rcv,SJ,F,W,43,Taylor,35990014,Drug,POSS OF METH,08/29/2019,03/22/2018,15 to 16 Months
10/02/2019,New Rcv,SJ,M,B,39,Brazoria,23990196,Property,THEFT W/2 MORE PREV CONVS,09/16/2019,01/16/2019,10 to 11 Months
02/04/2020,New Rcv,ID,M,B,37,Harris,52120009,Other,FELON POSS WPN,01/21/2020,09/09/2019,2 Years & Less
12/27/2019,New Rcv,ID,M,B,39,Harris,13990083,Violent,ASLT INT/RCK/IMP/BRTH/CIRC/PRECO,12/03/2019,02/28/2019,2 Years & Less
01/21/2020,NR-Prob-New Offense,ID,M,H,52,Dallas,11990001,Violent,SEXUAL ASLT,12/19/2019,12/05/2016,2 Years & Less
01/02/2020,Parole Rvk-Tech Only,ID,M,H,41,Harris,35990003,Drug,POSS W/INT DEL C/SUB,10/14/2004,05/26/2004,11 to 15 Years
12/17/2019,New Rcv,ID,M,B,41,Potter,35990003,Drug,MAN DEL CONT SUBS PG1 4-200G,11/19/2019,07/18/2017,21 to 25 Years
01/22/2020,New Rcv,ID,F,W,49,Anderson,35990003,Drug,MAN/DEL CONT SUB PG1 4-200G,11/15/2019,09/26/2016,11 to 15 Years
12/12/2019,NR-Prob-Orig,SAFP,F,W,44,Fayette,35990015,Drug,POSS CS PG 1 >=1G<4G,,09/06/2019,SAFPF
03/19/2020,NR-Prob-New Offense,SJ,F,W,43,Harrison,35990014,Drug,POSS CS PG1<1G,03/11/2020,09/30/2018,9 to 10 Months
12/18/2019,New Rcv,ID,M,H,52,Cameron,35620012,Drug,POSS OF MARIJUANA,08/15/2019,03/29/2019,2 Years & Less
02/27/2020,NR-Prob-Tech Only,ID,M,B,37,Bexar,35620010,Drug,POSS MARIJ 4OZ-5LBS,10/10/2011,06/15/2010,5 Years
09/24/2019,NR-Prob-Tech Only,ID,M,H,40,Potter,13990075,Violent,ASLT FAM/HSHLD MEM PREV CONV,08/29/2019,05/24/2012,4 Years
01/08/2020,NR-Prob-Tech Only,ID,M,W,49,Kerr,50150004,Other,FAILURE TO APPEAR,12/17/2019,01/07/2019,5 Years
03/03/2020,Parole Rvk-New Offense,ID,M,B,41,Harris,52030024,Other,POSS FIREARM FELON,03/17/2008,02/11/2007,11 to 15 Years
09/26/2019,NR-Prob-New Offense,ID,F,W,36,Kleberg,73990677,Other,PROH SUB IN CORR FAC,07/22/2019,08/04/2017,3 Years
01/07/2020,New Rcv,ID,M,H,36,Harris,11990004,Violent,AGG SEX ASLT CHILD,12/11/2019,02/06/2012,9 Years
10/28/2019,NR-Prob-New Offense,ID,M,B,35,Dewitt,36990013,Violent,INDECENCY TO A CHILD,08/29/2019,12/05/2013,7 Years
09/09/2019,New Rcv,ID,M,B,41,Navarro,22990001,Property,BURG BUILDING,08/15/2019,06/26/2018,5 Years
04/06/2020,New Rcv,ID,F,B,40,McLennan,35990003,Drug,DEL CS HEROIN,03/09/2020,07/10/2019,8 Years
07/28/2020,Parole Rvk-New Offense,ID,M,B,41,Travis,09990030,Violent,MURDER,06/02/1997,08/12/1996,21 to 25 Years
03/24/2020,New Rcv,ID,M,H,42,Deaf Smith,50990041,Other,RETALIATION,02/25/2020,12/02/2018,10 Years
10/24/2019,Parole Rvk-New Offense,ID,M,H,39,Bexar,35990003,Drug,POSS WID CONT SUBS PG1 4-200G,02/28/2012,07/16/2010,8 Years
03/25/2020,NR-Prob Mod,SAFP,M,B,40,Dallas,22990002,Property,BURGLARY OF HABITATION,,01/26/2018,SAFPF
01/02/2020,Parole Rvk-New Offense,ID,M,W,49,Harris,11180000,Violent,AGG SEX ASLT,02/04/1997,09/09/1995,31 to 40 Years
02/11/2020,New Rcv,SJ,M,H,40,Harris,22990001,Property,BURG BLDG,02/03/2020,01/29/2020,6 Months & Less
10/18/2019,New Rcv,ID,M,B,48,Bowie,35990016,Drug,POSS CONT SUB,09/16/2019,11/25/2018,7 Years
02/10/2020,New Rcv,ID,M,B,35,Henderson,52120009,Other,UNL POSS FIREARM BY FEL,01/21/2020,09/20/2019,4 Years
02/05/2020,New Rcv,SJ,F,B,44,Tarrant,23990196,Property,THEFT <$2500-2/MORE PREV CONV,01/28/2020,04/20/2019,6 Months & Less
02/21/2020,New Rcv,SJ,M,H,41,Travis,24110003,Property,UUV,02/11/2020,05/31/2019,23 to 24 Months & More
03/11/2020,New Rcv,SJ,F,W,39,Tarrant,35990014,Drug,"POSS CS LT 1G,NAMELY:METH",02/28/2020,12/18/2019,6 Months & Less
03/05/2020,New Rcv,SJ,M,B,40,Tarrant,23990196,Property,THEFT<2500-2 MORE PREV CONV,02/24/2020,08/04/2019,6 to 7 Months
03/05/2020,New Rcv,SJ,M,H,38,Tarrant,23990194,Property,THEFT PROP>=2500<30K,12/20/2019,07/14/2019,8 to 9 Months
09/26/2019,New Rcv,ID,M,W,36,Bell,35990016,Drug,POSS CONT SUB 4-200G,07/29/2019,01/20/2019,5 Years
01/21/2020,New Rcv,ID,F,B,40,Gregg,73991003,Other,ENG ORG CRIM ACT,12/12/2019,12/22/2018,5 Years
03/30/2020,NR-Prob-Orig,SAFP,M,W,46,Grayson,48010020,Other,EVADING ARREST DET W/VEH,,11/02/2018,SAFPF
09/09/2019,New Rcv,ID,M,H,55,Tarrant,11990012,Violent,SEX ABUSE CHILD CONT VU14,07/26/2019,05/11/2008,21 to 25 Years
09/19/2019,Parole Rvk-New Offense,ID,M,W,40,Dallas,13150005,Violent,AGG ASLT DW,05/20/2011,03/20/2009,10 Years
03/25/2020,New Rcv,ID,M,H,37,Tarrant,38990026,Other,VIOL BOND PROT ORD 2+ W/I 12 MON,03/06/2020,03/03/2019,3 Years
08/24/2020,New Rcv,SJ,M,H,40,Ector,35990014,Drug,POSS CS PG1<1G,04/14/2020,04/24/2018,11 to 12 Months
01/16/2020,NR-Prob-Tech Only,ID,F,B,37,Dallas,12990001,Violent,ROBBERY,03/12/2015,01/06/2015,2 Years & Less
01/23/2020,NR-Prob-New Offense,SJ,M,H,48,Tarrant,35990014,Drug,POSS C/S<1G; METH,01/10/2020,10/05/2018,6 Months & Less
07/01/2020,NR-Prob-Tech Only,SJ,M,B,38,Kaufman,35990014,Drug,POSS CS PG1<1G,05/06/2020,12/03/2019,15 to 16 Months
09/13/2019,New Rcv,ID,M,H,41,Smith,35990003,Drug,MAN DEL CONT SUB PG1 4-200G,08/02/2019,11/17/2017,11 to 15 Years
01/08/2020,New Rcv,SJ,M,W,41,Ector,35990014,Drug,POSS CS PG1<1G,12/20/2019,10/18/2018,6 Months & Less
02/18/2020,New Rcv,ID,M,H,47,Bee,35990002,Drug,MAN/DEL CONT SUB PG1 1-4G,01/09/2020,01/18/2019,10 Years
10/23/2019,New Rcv,ID,M,W,41,Galveston,35990016,Drug,POSS CONT SUB PG1 4-200G,08/29/2019,07/29/2018,2 Years & Less
08/18/2020,New Rcv,SJ,M,H,47,Bexar,48010019,Other,EVADE ARR/DET-2ND OR,05/27/2020,05/12/2020,6 Months & Less
10/30/2019,DMS Rvk-New Offense,ID,M,B,42,Harris,35990015,Drug,POSS COCAINE 1-4G,01/31/2014,11/09/2013,5 Years
10/03/2019,NR-Prob-Orig,SAFP,F,B,38,Fort Bend,35990015,Drug,POSS CS PG 1 >=1G<4G,,05/30/2019,SAFPF
02/13/2020,New Rcv,ID,M,W,40,Tarrant,35990014,Drug,POSS CONT SUB L/1G METH,01/22/2020,11/14/2019,2 Years & Less
10/11/2019,New Rcv,SJ,M,H,38,Dallas,35990014,Drug,POSS C/S; METH,09/17/2019,06/19/2019,6 Months & Less
01/09/2020,New Rcv,ID,F,W,42,Dallas,13150005,Violent,AGG ASLT/DWPN,12/09/2019,08/26/2017,4 Years
01/23/2020,New Rcv,SJ,M,B,61,Tarrant,35990014,Drug,POSS C/S<1G; COCAINE,01/10/2020,12/06/2019,6 Months & Less
09/03/2019,New Rcv,ID,M,H,42,San Patricio,73990677,Other,PROH SUBS ITEM IN CORR FAC,07/01/2019,09/02/2018,7 Years
